folderyear,licencersn,licencenumber,licencerevisionnumber,businessname,businesstradename,status,issueddate,expireddate,businesstype,businesssubtype,unit,unittype,house,street,city,province,country,postalcode,localarea,numberofemployees,feepaid,extractdate,geom,geo_point_2d
23,4137389,23-109534,00,Canada Hd Int'l Investment Group Corp,,Issued,2023-03-01T05:57:01+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,2,497.0,2025-04-22T21:22:39+00:00,,
23,4137395,23-109540,00,Accent Construction Co Ltd,,Issued,2023-01-08T06:20:52+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,2,207.0,2025-04-22T21:22:39+00:00,,
23,4137447,23-109592,00,(Avtar Grewal),,Issued,2022-12-23T20:50:55+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,0,207.0,2025-04-22T21:22:39+00:00,,
23,4137448,23-109593,00,Canada West Construction Ltd,,Gone Out of Business,,,Contractor *Historic*,Building,920,Unit,1111,MELVILLE ST,Vancouver,BC,CA,V6E 3V6,,3,,2025-04-22T21:22:39+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.122115694066, 49.2868896949297], 'type': 'Point'}, 'properties': {}}","{'lon': -123.122115694066, 'lat': 49.2868896949297}"
23,4137514,23-109659,00,Fair Trade Work Ltd,,Pending,,,Contractor *Historic*,Building,101,Unit,1520,RAND AV,Vancouver,BC,CA,V6P 3G2,,15,,2025-04-22T21:22:39+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.141815099722, 49.2045637413034], 'type': 'Point'}, 'properties': {}}","{'lon': -123.141815099722, 'lat': 49.2045637413034}"
23,4137536,23-109681,00,(Wesley Wong),Genesis Project Management,Gone Out of Business,,,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,1,,2025-04-22T21:22:39+00:00,,
23,4137575,23-109720,00,Janet Kit Wah Kam (Janet Kam),A G Productions,Issued,2022-11-24T06:02:53+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,2,207.0,2025-04-22T21:22:39+00:00,,
23,4137590,23-109735,00,Owen William Ray (Owe Ray),Big O Construction,Issued,2022-12-01T14:28:57+00:00,2023-12-31,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,1,443.0,2025-04-22T21:22:39+00:00,,
23,4137601,23-109746,00,Jenny Lai-Kuen Ho (Jenny Ho),Supreme Developments,Gone Out of Business,,,Contractor *Historic*,Building,250,Unit,5655,CAMBIE ST,Vancouver,BC,CA,V5Z 3A4,,1,,2025-04-22T21:22:39+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.11679797759, 49.2340018109989], 'type': 'Point'}, 'properties': {}}","{'lon': -123.11679797759, 'lat': 49.2340018109989}"
23,4137614,23-109759,00,Hawthorne Enterprises Ltd,,Issued,2022-11-30T01:03:05+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,5,207.0,2025-04-22T21:22:39+00:00,,
23,4137644,23-109789,00,Chung Kong Li (Chung Li),,Issued,2023-02-24T21:13:22+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,1,247.0,2025-04-22T21:22:39+00:00,,
23,4137678,23-109823,00,Edso Construction Ltd,,Issued,2022-12-13T03:10:58+00:00,2023-12-31,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,2,457.0,2025-04-22T21:22:39+00:00,,
23,4137707,23-109852,00,KC Development Ltd,,Issued,2022-11-19T08:05:00+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,0,207.0,2025-04-22T21:22:39+00:00,,
23,4137710,23-109855,00,J & Z Construction Ltd,,Issued,2022-12-28T06:38:48+00:00,2023-12-31,Contractor *Historic*,Framing,,,,,Vancouver,BC,CA,,,1,207.0,2025-04-22T21:22:39+00:00,,
23,4137722,23-109867,00,Tried & True Construction Ltd,,Pending,,,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,2,,2025-04-22T21:22:39+00:00,,
23,4137738,23-109883,00,Golden Extra Development Ltd,,Issued,2022-12-29T20:37:02+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,01,457.0,2025-04-22T21:22:39+00:00,,
23,4137756,23-109901,00,Multani & Caldeira Developments Inc,,Pending,,,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,0,,2025-04-22T21:22:39+00:00,,
23,4137897,23-110042,00,Crystal Park Management Ltd,Global New Home,Issued,2022-11-09T16:56:09+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,1,457.0,2025-04-22T21:22:39+00:00,,
23,4137911,23-110056,00,Fusion Project Management Ltd,,Issued,2022-11-21T18:29:11+00:00,2023-12-31,Contractor *Historic*,Building,800,Unit,850,W HASTINGS ST,Vancouver,BC,CA,V6C 1E1,,48,457.0,2025-04-22T21:22:39+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.115919426108, 49.2862337084847], 'type': 'Point'}, 'properties': {}}","{'lon': -123.115919426108, 'lat': 49.2862337084847}"
23,4137921,23-110066,00,Betterso Spot Repairs Ltd,,Issued,2022-12-31T19:12:32+00:00,2023-12-31,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,1,207.0,2025-04-22T21:22:39+00:00,,
23,4137964,23-110109,00,Wai Yip Lo (Wai Lo),Kin Yip Construction Co,Pending,,,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,2,,2025-04-22T21:22:39+00:00,,
23,4138012,23-110157,00,Woodward Construction Ltd,,Issued,2022-12-22T20:48:54+00:00,2023-12-31,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,1,207.0,2025-04-22T21:22:39+00:00,,
23,4138040,23-110185,00,LECO Construction (2019)  Ltd,,Pending,,,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,6,,2025-04-22T21:22:39+00:00,,
23,4138202,23-110347,00,(Andreas Michantas),AMJ New Construction,Issued,2023-02-28T15:29:25+00:00,2023-12-31,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,1,497.0,2025-04-22T21:22:39+00:00,,
23,4138275,23-110420,00,Regenerate Design Building and Maintenance Inc,Regenerate,Gone Out of Business,,,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,4,,2025-04-22T21:22:39+00:00,,
23,4138288,23-110433,00,Eagle King Construction Ltd,Eagle King Construction,Pending,,,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,1,,2025-04-22T21:22:39+00:00,,
23,4138343,23-110488,00,Meypro Construction 2008 Ltd,,Issued,2023-10-26T18:10:50+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,1,247.0,2025-04-22T21:22:39+00:00,,
23,4138389,23-110534,00,Ambient Bathrooms Ltd,,Issued,2023-01-10T23:44:33+00:00,2023-12-31,Contractor *Historic*,Alterations & Repairs,,,1639,W 3RD AV,Vancouver,BC,CA,V6J 0B6,,4,207.0,2025-04-22T21:22:39+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.141904634214, 49.2690920172261], 'type': 'Point'}, 'properties': {}}","{'lon': -123.141904634214, 'lat': 49.2690920172261}"
23,4138425,23-110570,00,EJ Homes Ltd,EJ Homes,Issued,2022-12-21T05:57:32+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,2,207.0,2025-04-22T21:22:39+00:00,,
23,4138436,23-110581,00,Cypher Developments Ltd,,Issued,2022-12-11T22:28:22+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,1,457.0,2025-04-22T21:22:39+00:00,,
23,4138445,23-110590,00,(Gordon Woolvett),GMW DreamBuild,Issued,2023-06-05T15:07:53+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,2,273.0,2025-04-22T21:22:39+00:00,,
23,4138494,23-110639,00,Shield Construction Ltd,,Issued,2023-01-17T18:53:53+00:00,2023-12-31,Contractor *Historic*,Building,1705,Unit,1177,W HASTINGS ST,Vancouver,BC,CA,V6E 2K3,,6,497.0,2025-04-22T21:22:39+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.121979852972, 49.2888486263507], 'type': 'Point'}, 'properties': {}}","{'lon': -123.121979852972, 'lat': 49.2888486263507}"
23,4138501,23-110646,00,Fix Build Ltd,,Gone Out of Business,,,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,2,,2025-04-22T21:22:39+00:00,,
23,4138503,23-110648,00,First Avenue Venture Partners Inc,,Inactive,,,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,1,,2025-04-22T21:22:39+00:00,,
23,4138511,23-110656,00,Adrian Paul Walker (Adrian Walker),Vancity Builders,Pending,,,Contractor *Historic*,Alterations & Repairs,,,,,Vancouver,BC,CA,,,1,,2025-04-22T21:22:39+00:00,,
23,4138547,23-110692,00,Wesco Living Ltd,,Issued,2022-12-07T05:29:43+00:00,2023-12-31,Contractor *Historic*,Building,,,,,Vancouver,BC,CA,,,3,207.0,2025-04-22T21:22:39+00:00,,
