folderyear,licencersn,licencenumber,licencerevisionnumber,businessname,businesstradename,status,issueddate,expireddate,businesstype,businesssubtype,unit,unittype,house,street,city,province,country,postalcode,localarea,numberofemployees,feepaid,extractdate,geom,geo_point_2d
24,4519594,24-139465,10,Nathan Muirhead Law Corporation,Yan Muirhead LLP,Issued,2023-12-07T00:13:25+00:00,2024-12-31,Legal Services,,1100,Unit,736,GRANVILLE ST,Vancouver,BC,CA,V6Z 1G3,Downtown,5.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.118522373666, 49.2818433477786], 'type': 'Point'}, 'properties': {}}","{'lon': -123.118522373666, 'lat': 49.2818433477786}"
24,4519596,24-139467,10,Los Elotes Food Services Ltd,Los Elotes,Inactive,2023-12-31T02:01:21+00:00,2024-12-31,Street Vendor,,150,Unit,1507,POWELL ST,Vancouver,BC,CA,V5L 5C3,Grandview-Woodland,2.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.073615685949, 49.283636765839], 'type': 'Point'}, 'properties': {}}","{'lon': -123.073615685949, 'lat': 49.283636765839}"
24,4519610,24-139482,10,Penguin Pick-Up GP Inc,PenguinPickUp,Issued,2024-02-07T14:45:42+00:00,2024-12-31,Logistics Services,,,,1568,W BROADWAY,Vancouver,BC,CA,V6J 5K9,Fairview,3.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.140260520016, 49.263299881263], 'type': 'Point'}, 'properties': {}}","{'lon': -123.140260520016, 'lat': 49.263299881263}"
24,4519617,24-139489,10,J. De Vita Law Corporation,,Issued,2023-11-20T17:59:38+00:00,2024-12-31,Legal Services,,1200,Unit,1075,W GEORGIA ST,Vancouver,BC,CA,V6E 3C9,Downtown,90.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.122189505874, 49.2858641494082], 'type': 'Point'}, 'properties': {}}","{'lon': -123.122189505874, 'lat': 49.2858641494082}"
24,4519618,24-139490,10,Kind Development Group Ltd,,Issued,2023-12-15T18:47:45+00:00,2024-12-31,General Contractor,,301,Unit,5455,WEST BOULEVARD,Vancouver,BC,CA,V6M 3W5,Arbutus-Ridge,6.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.155880516923, 49.2365596137076], 'type': 'Point'}, 'properties': {}}","{'lon': -123.155880516923, 'lat': 49.2365596137076}"
24,4519620,24-139492,10,(Theresa Sinclair),Life Simplified Lifestyle Management,Issued,2024-01-31T00:47:15+00:00,2024-12-31,Design Services,,,,,,Vancouver,BC,CA,,Downtown,0.0,,2025-11-01T09:31:04+00:00,,
24,4519625,24-139499,10,L Niro Law Corporation,Bell Alliance LLP,Issued,2023-11-20T17:50:59+00:00,2024-12-31,Legal Services,,201,Unit,1367,W BROADWAY,Vancouver,BC,CA,V6H 4A7,Fairview,76.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.135233245256, 49.2640128170989], 'type': 'Point'}, 'properties': {}}","{'lon': -123.135233245256, 'lat': 49.2640128170989}"
24,4519627,24-139501,10,Blackfish Marine Group Inc,Blackfish Marine,Issued,2023-11-20T19:52:42+00:00,2024-12-31,Brokerage Services,,,,1815,MARITIME MEWS,Vancouver,BC,CA,V6H 3W7,Fairview,4.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.136494483655, 49.2710663963366], 'type': 'Point'}, 'properties': {}}","{'lon': -123.136494483655, 'lat': 49.2710663963366}"
24,4519629,24-139504,10,Braeside Consulting Services Ltd,,Issued,2023-12-26T19:58:18+00:00,2024-12-31,Consulting and Management Services,,,,,,Vancouver,BC,CA,,West End,2.0,,2025-11-01T09:31:04+00:00,,
24,4519645,24-139523,10,Expansion Works Learning and Project Management Inc,,Inactive,2023-12-27T18:20:01+00:00,2024-12-31,Consulting and Management Services,,,,,,Vancouver,BC,CA,,Killarney,1.0,,2025-11-01T09:31:04+00:00,,
